,Medical Center,name,link,
0,,"Taipei Medical University - Shuang Ho Hospital, Ministry of Health and Welfare",http://shh.tmu.edu.tw/,
1,,Abc Dental Group HQ,https://abc-dental-group-hq.abctooth.com.tw/#!/branches/16,
2,,Anfa Clinic,https://www.anfaclinic.com/,
3,,An-Ho Clinic,http://www.an-ho.com.tw/default1.asp,
4,,Antai Medical Care Cooperation Antai Tian-Sheng Memorial Hospital,http://www.tsmh.org.tw/,
5,,APHRODITE  BEAUTY  CLINIC,https://www.aphrodite.com.tw/,
6,,Aphrodite Ritz Clinic,https://www.aphrodite.com.tw/,
7,,Armfulcare Hospital,https://www.intltw.armfulcare.com.tw/,
8,,ARSTY AESTHETIC PLASTIC CLINIC,http://arsty-clinic.com,
9,,Athena Plastic Surgery Clinic,https://www.athenaps.com.tw/zh-tw/index,
10,,Beauty Line Aesthetic Clinic,https://www.beauty-line.com.tw/,
11,,Buddhist Tzu Chi Medical Foundation Hualien Tzu Chi Hospital,http://hlm.tzuchi.com.tw/,
12,,Camillian Saint Mary?€?s Hospital Luodong,http://www.smh.org.tw,
13,,Cardinal Tien Hospital,http://www.cth.org.tw/,
14,,Cathay General Hospital,https://www.cgh.org.tw/,
wikipedia,YES,Central Clinic Hospital,https://www.clinic.org.tw,
15,,Chang Bing Show Chwan Memorial Hospital,https://www.cbshow.org.tw/changbin/,
16,YES,"Chang Gung Memorial Hospital, Linkou",http://www.chang-gung.com/,
17,YES,Changhua Christian Hospital,https://www.cch.org.tw/home.aspx,
18,,Cheng Ching General Hospital- Chung Kang,http://www.ccgh.com.tw/,
19,,Cheng Hsin General Hospital,http://www.chgh.org.tw/chgh/international/index.jspx,
20,YES,Chi Mei Hospital,http://www.chimei.org.tw/,
21,,"Chiayi branch , Taichung Veterans General Hospital",http://www.vhcy.gov.tw/vhcy/international/,
22,,Chiayi Chang Gung Memorial Hospital,http://www.chang-gung.com/,
23,,Chia-Yi Christian Hospital,http://elearn2.cych.org.tw/1900/,
24,,"Chiayi Hospital, Ministry of Health and Welfare ",https://www.chyi.mohw.gov.tw/Default.asp?aid=911,
25,,CHICING Aesthetic Medical Surgery Center,https://www.chicing.com.tw/,
26,,Chien-Shin Hospital,http://www.cshospital.com.tw/,
27,YES,China Medical University Hospital,https://www.cmuh.cmu.edu.tw/,
28,,China Medical University Hsinchu Hospital,http://www.cmu-hch.cmu.edu.tw/,
29,,Chung Shan Hospital,http://www.csh.com.tw,
30,YES,Chung Shan Medical University Hospital,https://www.csh.org.tw/,
31,,Dashin Reproductive Center,http://www.dashin.com.tw/index.aspx,
